100 50
CONDUCTOR 5 0
CONDUCTOR 6 0
CONDUCTOR 4 1
CONDUCTOR 7 1
CONDUCTOR 2 2
CONDUCTOR 3 2
CONDUCTOR 6 2
CONDUCTOR 7 2
CONDUCTOR 8 2
CONDUCTOR 9 2
CONDUCTOR 6 3
CONDUCTOR 8 3
CONDUCTOR 9 3
CONDUCTOR 10 3
CONDUCTOR 11 3
CONDUCTOR 2 4
CONDUCTOR 3 4
CONDUCTOR 6 4
CONDUCTOR 7 4
CONDUCTOR 8 4
CONDUCTOR 9 4
CONDUCTOR 4 5
CONDUCTOR 7 5
CONDUCTOR 5 6
CONDUCTOR 6 6
CONDUCTOR 30 7
CONDUCTOR 30 8
CONDUCTOR 31 8
CONDUCTOR 32 8
CONDUCTOR 33 9
CONDUCTOR 34 9
CONDUCTOR 35 9
CONDUCTOR 36 9
CONDUCTOR 37 10
CONDUCTOR 38 10
CONDUCTOR 39 10
CONDUCTOR 40 10
CONDUCTOR 40 11
CONDUCTOR 41 11
HEAD 42 11
TAIL 43 11
CONDUCTOR 44 12
HEAD 45 12
TAIL 46 12
TAIL 46 13
CONDUCTOR 47 13
HEAD 48 13
TAIL 49 13
TAIL 49 14
CONDUCTOR 50 14
HEAD 51 14
HEAD 52 14
TAIL 52 15
CONDUCTOR 53 15
